"iso2c","year","country","mean_stress","countryid","Equity","EquityR5","EquityH5","EquityR","EquityH","ImpLoans","ImpLoansR5","ImpLoansH5","ImpLoansR","ImpLoansH","Costs","CostsR5","CostsH5","CostsR","CostsH","ROAA","ROAAR5","ROAAH5","ROAAR","ROAAH","NetLoans","NetLoansR5","NetLoansH5","NetLoansR","NetLoansH","Z","NCO","Liquid","exchange_rate_usd","stock_price_volatility","stock_returns","private_credit","income","exchange_rate_change","private_credit_change","log_imploans","exchange_rate_usd_log","private_credit_log"
"AF",2005,"Afghanistan",0.873392400333785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.4945975,NA,NA,NA,"Low income",NA,NA,NA,3.90186352220415,NA
"AF",2006,"Afghanistan",0.886594847590054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.9253308333333,NA,NA,NA,"Low income",NA,NA,NA,3.9105285058865,NA
"AF",2007,"Afghanistan",0.841187686550091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.9620177703972,NA,NA,4.9039306640625,"Low income",NA,NA,NA,3.91126307215993,1.59003705988439
"AF",2008,"Afghanistan",0.849832717208106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.2496147435897,NA,NA,8.29802799224854,"Low income",NA,69.2117723657682,NA,3.91700288011556,2.11601789527791
"AF",2009,"Afghanistan",0.857180611252167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.325,NA,NA,8.86607933044434,"Low income",NA,NA,NA,3.91850197152586,2.18223268399819
"AF",2010,"Afghanistan",0.810601135510628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.4524610013175,NA,NA,9.83480739593506,"Low income",NA,NA,NA,3.83842944558548,2.28592786811444
"AF",2011,"Afghanistan",0.90760124030785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.747007738581,NA,NA,7.28950691223145,"Low income",NA,NA,NA,3.8447502480944,1.98643590480722
"AL",2003,"Albania",0.618897343263178,100000,7.63891077041626,6.91807270050049,8.98649024963379,6.91807270050049,7.63891077041626,3.05015969276428,3.05015969276428,3.05015969276428,3.05015969276428,3.05015969276428,50.9904861450195,58.0641555786133,60.6185684204102,58.0641555786133,50.9904861450195,1.05814135074615,1.24504685401917,1.10571622848511,1.24504685401917,1.05814135074615,20.8018035888672,17.9227161407471,30.4716663360596,17.9227161407471,20.8018035888672,4.38534498214722,1.4897153377533,66.3248062133789,121.86325,NA,NA,6.51286602020264,"Upper middle income",17.2478546206039,-81.8649570265522,1.11519394753204,4.80289951441383,1.87377960821843
"AL",2004,"Albania",0.631253125998387,100000,6.92423725128174,6.42767858505249,8.24680805206299,6.42767858505249,6.92423725128174,5.77419471740723,0.961450159549713,0.550000011920929,0.961450159549713,0.550000011920929,58.4835968017578,59.1076240539551,65.2170867919922,59.1076240539551,58.4835968017578,0.801127851009369,0.963779270648956,0.671436131000519,0.963779270648956,0.801127851009369,22.8762454986572,21.3202877044678,30.9869937896729,21.3202877044678,22.8762454986572,3.89538788795471,0.163459151983261,66.2397155761719,102.780051196172,NA,NA,8.07733249664307,"Upper middle income",-26.6666146613223,36.6070356430507,1.75339880381159,4.63259127967811,2.08906168147186
"AL",2005,"Albania",0.59009941277361,100000,7.23718643188477,6.47310543060303,7.66371870040894,6.47310543060303,7.23718643188477,4.44325685501099,1.36000001430511,NA,1.36000001430511,NA,54.5265998840332,53.5090675354004,56.8891906738281,53.5090675354004,54.5265998840332,1.62450850009918,1.47826015949249,1.39948201179504,1.47826015949249,1.62450850009918,29.9420852661133,30.9824142456055,43.5792999267578,30.9824142456055,29.9420852661133,4.46836376190186,3.65679574012756,55.8747253417969,99.8702544808992,NA,NA,11.80810546875,"Upper middle income",5.15080175283166,-65.9873156108484,1.49138763344887,4.60387188837335,2.46878619979231
"AL",2006,"Albania",0.591493823247513,100000,6.64524459838867,6.39433193206787,7.07835578918457,6.39433193206787,6.64524459838867,1.99628496170044,1.99628496170044,2.53999996185303,1.99628496170044,2.53999996185303,61.9644317626953,52.1975784301758,61.4499206542969,52.1975784301758,61.9644317626953,1.24724352359772,1.54099547863007,1.11428582668304,1.54099547863007,1.24724352359772,37.9031410217285,39.7146453857422,48.8050842285156,39.7146453857422,37.9031410217285,3.97965693473816,-0.124201662838459,51.7871551513672,98.1033770912698,NA,NA,17.8458404541016,"Upper middle income",-19.4971600615692,174.009021508266,0.691287934082108,4.58602179096625,2.88177045328903
"AL",2007,"Albania",0.568309223850913,100000,6.96286582946777,7.8648796081543,7.19718456268311,7.8648796081543,6.96286582946777,3.06979203224182,2.52750182151794,3.22204327583313,2.52750182151794,3.22204327583313,49.0736236572266,47.0654296875,47.8312950134277,47.0654296875,49.0736236572266,1.56558644771576,1.54558491706848,1.61435639858246,1.54558491706848,1.56558644771576,35.4396629333496,45.8835525512695,37.0160751342773,45.8835525512695,35.4396629333496,4.30033111572266,-0.0788642168045044,30.9509029388428,90.4278938310708,NA,NA,24.7456321716309,"Upper middle income",-7.82387262067255,38.663304960476,1.12160981736374,4.50455277988148,3.20864899552674
"AL",2008,"Albania",0.42949950442583,100000,8.79096794128418,9.9860200881958,8.97245597839355,9.9860200881958,8.69756603240967,5.31076717376709,8.68823432922363,3.95478487014771,8.68823432922363,3.95478487014771,47.4921951293945,50.5557594299316,46.8643417358398,50.5557594299316,47.2091522216797,1.72779321670532,1.49091231822968,1.75580930709839,1.49091231822968,1.73911678791046,42.7045288085938,53.1196022033691,44.3102798461914,53.1196022033691,42.5590972900391,5.30391216278076,0.115149594843388,16.0203342437744,83.8946041005291,NA,NA,30.7540607452393,"Upper middle income",-7.22486110618324,24.2807641038835,1.66973630198697,4.42956129794285,3.42602204228955
"AL",2009,"Albania",0.531900726092285,100000,10.1922006607056,10.2291507720947,10.576940536499,10.2291507720947,10.0553407669067,10.0828418731689,13.4389533996582,9.41811656951904,13.4389533996582,9.41811656951904,49.1326217651367,53.5893516540527,45.00732421875,53.5893516540527,48.932258605957,1.27163469791412,1.20196723937988,1.40062654018402,1.20196723937988,1.27669155597687,47.3175315856934,53.5463905334473,49.046329498291,53.5463905334473,47.2035598754883,5.78044986724854,-0.0354291647672653,19.3012447357178,94.9781198203843,NA,NA,34.7167701721191,"Upper middle income",-33.8061608227691,610.001568108571,2.3108351547699,4.55364654739319,3.54722286046849
"AL",2010,"Albania",0.514858932749487,100000,10.6050119400024,10.677417755127,10.9205904006958,10.677417755127,10.5370979309082,14.4464864730835,19.1764259338379,13.5591535568237,19.1764259338379,13.5591535568237,50.9925270080566,52.5334281921387,46.6570625305176,52.5334281921387,50.3665046691895,1.25741636753082,1.58888328075409,1.33451163768768,1.58888328075409,1.28343164920807,46.7450332641602,50.361572265625,46.8631210327148,50.361572265625,46.556713104248,5.9814338684082,-0.179071739315987,20.9836463928223,103.9364433527,NA,NA,35.9131546020508,"Upper middle income",-1.63930325324639,-4.84199712153234,2.67045123434087,4.6437795907218,3.58110365183301
"AL",2011,"Albania",0.540200446658816,100000,10.8265552520752,10.9299192428589,11.1913366317749,10.9299192428589,10.6827220916748,13.9499807357788,13.7001686096191,17.1033153533936,13.7001686096191,17.1033153533936,49.0842971801758,56.3610610961914,46.3000564575195,56.3610610961914,48.6408958435059,1.41122996807098,1.05637001991272,1.42680144309998,1.05637001991272,1.42397022247314,47.142749786377,48.7595405578613,46.9933776855469,48.7595405578613,46.8279762268066,6.17070198059082,-0.0188003890216351,17.5772438049316,100.89495472583,NA,NA,38.0971794128418,"Upper middle income",1.02603147479391,222.635832764752,2.63547812731867,4.61407992339214,3.64014024823321
"AM",2003,"Armenia",0.737444535122107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,578.762954545455,NA,NA,5.58961486816406,"Lower middle income",89.1571359913718,-62.8359052750359,NA,6.36089298881379,1.72091038822181
"AM",2004,"Armenia",0.64768806637583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,533.450833333333,NA,NA,5.85864591598511,"Lower middle income",-7.82913295611828,4.81305159955349,NA,6.27936690779453,1.7679185045301
"AM",2005,"Armenia",0.54709951408342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,457.686940629159,NA,NA,6.91556882858276,"Lower middle income",NA,NA,NA,6.12618541465292,1.93377522183228
"AM",2006,"Armenia",0.598670759157889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,416.040369724542,NA,NA,7.75928640365601,"Lower middle income",-9.09935748819216,12.2002628559791,NA,6.03078229816001,2.04889037167495
"AM",2007,"Armenia",0.634481407636513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342.079116208671,NA,NA,10.2686080932617,"Lower middle income",-17.7774223123685,32.3395936051974,NA,5.83504204425252,2.32909148342729
"AM",2008,"Armenia",0.622786050438879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305.969400261936,NA,NA,15.0403633117676,"Lower middle income",-43.2892029707686,65.5644131126561,NA,5.72348509780813,2.71073747459746
"AM",2009,"Armenia",0.70176588339387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363.283285606061,NA,NA,22.090124130249,"Lower middle income",-34.5527805940647,169.705718724303,NA,5.89518293102886,3.09513063671225
"AM",2010,"Armenia",0.662549775565774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,373.660466738817,NA,NA,24.796085357666,"Lower middle income",-29.9540944750327,323.239187232851,NA,5.92334754213121,3.21068579223034
"AM",2011,"Armenia",0.599063218778717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372.500882448711,NA,NA,29.9644603729248,"Lower middle income",-35.0311822060781,355.917551802194,NA,5.92023940680664,3.40001202516881
"AN",2003,"Netherlands Antilles",0.777407810209942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN",2004,"Netherlands Antilles",0.77349599324712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN",2005,"Netherlands Antilles",0.688227679831938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN",2006,"Netherlands Antilles",0.703670145143489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN",2007,"Netherlands Antilles",0.757167137670763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN",2008,"Netherlands Antilles",0.703568031017867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN",2009,"Netherlands Antilles",0.756773147057449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN",2010,"Netherlands Antilles",0.693440374730934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AO",2003,"Angola",0.836019623282335,300000,11.1936559677124,9.56353569030762,9.56353569030762,10.7015037536621,11.1936559677124,10.328519821167,10.328519821167,10.328519821167,10.328519821167,10.328519821167,41.4868965148926,49.712947845459,49.712947845459,41.9291763305664,41.4868965148926,1.67212200164795,0.185811102390289,0.185811102390289,1.68697762489319,1.67212200164795,25.2101345062256,32.2562370300293,32.2562370300293,25.1190662384033,25.2101345062256,10.1990995407104,NA,51.971622467041,74.6063008333333,NA,NA,3.65169239044189,"Lower middle income",643.050372518817,220.324467353119,2.33490898352941,4.31222496521587,1.29519072874754
"AO",2004,"Angola",0.690071048898938,300000,10.5003099441528,8.23561000823975,8.23561000823975,9.93260192871094,10.5003099441528,9.91739368438721,9.91739368438721,9.91739368438721,9.91739368438721,9.91739368438721,49.8427772521973,50.2384567260742,50.2384567260742,45.387279510498,49.8427772521973,1.86654734611511,1.59199094772339,1.59199094772339,1.95888352394104,1.86654734611511,27.7437858581543,31.6983032226562,31.6983032226562,27.8731117248535,27.7437858581543,9.80359363555908,NA,47.4863700866699,83.5413625,NA,NA,4.20681667327881,"Lower middle income",NA,NA,2.2942901533476,4.42534186848834,1.43670622706722
"AO",2005,"Angola",0.608297646526047,300000,9.09658813476562,6.46873998641968,6.46873998641968,9.05483055114746,9.09658813476562,7.44125938415527,7.44125938415527,7.44125938415527,7.44125938415527,7.44125938415527,60.533317565918,56.9375686645508,56.9375686645508,62.1297378540039,60.533317565918,2.10423040390015,1.79379510879517,1.79379510879517,2.10679030418396,2.10423040390015,26.8118839263916,27.3526821136475,27.3526821136475,27.5931720733643,26.8118839263916,8.87923908233643,NA,45.4055786132812,87.1591416666667,NA,NA,4.1403489112854,"Lower middle income",100.226804191603,50.5448554071247,2.00704010658398,4.46773566223842,1.42078006237429
"AO",2006,"Angola",0.619073596008753,300000,9.08810234069824,6.55086660385132,7.28225994110107,9.05276870727539,9.08810234069824,3.56404328346252,6.30000019073486,5.87393140792847,6.30000019073486,5.87393140792847,56.345344543457,65.0038604736328,65.1576919555664,57.3547058105469,56.345344543457,2.26841831207275,1.0144739151001,0.9974524974823,2.0812029838562,2.26841831207275,32.7947196960449,30.2015228271484,30.6337413787842,31.4251403808594,32.7947196960449,9.0026683807373,NA,41.8439788818359,80.3680720555556,NA,NA,5.47048282623291,"Lower middle income",-12.5537869048851,-70.6688996866252,1.27089565416516,4.38661698357751,1.69936688058839
"AO",2007,"Angola",0.701672338765357,300000,8.68073463439941,6.46390151977539,6.93203926086426,9.02021026611328,8.68073463439941,2.20205950737,3.13000011444092,3.12319302558899,3.13000011444092,3.12319302558899,44.0695419311523,40.6741485595703,42.1365509033203,44.3077278137207,44.0695419311523,2.98072814941406,2.28276824951172,2.2091281414032,2.65656757354736,2.98072814941406,37.3961524963379,33.1900329589844,34.0680923461914,34.6976699829102,37.3961524963379,9.24440574645996,0.140000000596046,32.2241859436035,76.70614275,NA,NA,8.1069450378418,"Lower middle income",-20.5268233500079,-64.1852787821167,0.789393062172395,4.33998179317155,2.09272110638987
"AO",2008,"Angola",0.653144865835185,300000,7.56282472610474,6.501145362854,6.68835067749023,7.9438362121582,7.56282472610474,2.25134015083313,2.99399304389954,2.87306475639343,2.99399304389954,2.87306475639343,37.1100997924805,35.643798828125,37.5769195556641,35.7163238525391,37.1100997924805,3.3548641204834,2.77645826339722,2.68622636795044,3.34212803840637,3.3548641204834,30.4113502502441,31.786735534668,32.452564239502,29.2778167724609,30.4113502502441,8.65479278564453,0.436125516891479,52.9005966186523,75.0333541666667,NA,NA,9.82459831237793,"Lower middle income",-20.1218354584787,-46.975431460627,0.811525661496099,4.31793273689891,2.2848892726832
"AO",2009,"Angola",0.721798423234356,300000,9.44119453430176,8.63622951507568,9.18106460571289,9.85974502563477,9.44119453430176,3.32551097869873,4.06311893463135,3.80578207969666,4.06311893463135,3.80578207969666,33.1736907958984,32.7193565368652,34.8980941772461,33.1317901611328,33.1736907958984,3.30256867408752,2.97306299209595,2.96674609184265,3.36975717544556,3.30256867408752,38.3743858337402,43.2943382263184,43.1632804870605,37.4961700439453,38.3743858337402,10.1023797988892,0.355325102806091,27.1832275390625,79.3281666666667,NA,NA,16.9707107543945,"Lower middle income",5.72387113397626,72.7369426698417,1.20162334010472,4.37359325683215,2.83148896136226
"AO",2010,"Angola",0.779943362348953,300000,10.6140727996826,9.66340446472168,10.1727056503296,10.6077823638916,10.6140727996826,8.17912483215332,10.0570430755615,10.0635948181152,10.0570430755615,10.0635948181152,36.2769584655762,34.4975433349609,35.8798408508301,37.1102600097656,36.2769584655762,3.37790083885193,2.90150308609009,2.80045819282532,3.22040438652039,3.37790083885193,36.8238983154297,35.9867820739746,36.5414161682129,32.0528564453125,36.8238983154297,11.0918703079224,-0.503022968769073,29.2284965515137,91.9057203405018,NA,NA,18.6507930755615,"Lower middle income",15.8550918322434,9.89989367847748,2.10158515615664,4.52076327269654,2.92588866934449
"AO",2011,"Angola",0.674431336434015,300000,10.6168003082275,8.9452075958252,9.38217639923096,9.92524814605713,10.6168003082275,5.73877048492432,5.9658465385437,6.19315004348755,5.9658465385437,6.19315004348755,45.2177505493164,39.0825119018555,42.5155296325684,41.3944702148438,45.2177505493164,2.5049569606781,2.02039933204651,2.01662039756775,2.43929600715637,2.5049569606781,33.3074760437012,36.5786933898926,35.7794723510742,31.5307006835938,33.3668670654297,10.4020299911499,0.653313279151917,42.257926940918,93.93475,NA,NA,18.5283889770508,"Lower middle income",25.9072611170543,407.391833593319,1.74724498615442,4.54260039230091,2.91930409518202
"AR",2003,"Argentina",0.61968600655266,400000,10.6283779144287,9.72717666625977,11.936915397644,10.821310043335,10.6283779144287,18.1890544891357,17.4212608337402,16.1392650604248,17.6695289611816,18.0794906616211,142.63752746582,151.099182128906,161.830184936523,147.539581298828,142.567123413086,-2.9903838634491,-3.22845411300659,-1.92773461341858,-3.10831189155579,-2.9903838634491,32.4245796203613,32.5453681945801,37.5148963928223,32.3238563537598,32.4245796203613,1.83959698677063,12.6521015167236,13.9216156005859,2.90062916666667,43.8782730102539,83.2605438232422,11.9888877868652,"Upper middle income",190.208020677005,-50.6090158388908,2.90082001147237,1.0649276674843,2.48398020300745
"AR",2004,"Argentina",0.568309830136062,400000,10.1301975250244,9.74833869934082,11.1682662963867,10.2069492340088,10.1301975250244,9.41926193237305,8.66054916381836,7.300940990448,8.7463493347168,9.56408596038818,117.037269592285,98.1545333862305,102.602142333984,117.869682312012,117.037269592285,-0.246389970183372,-0.0291030555963516,-0.0547720640897751,-0.254254370927811,-0.246389970183372,30.8155555725098,31.1822853088379,32.4677925109863,30.6117515563965,30.8155555725098,2.38049793243408,11.8796806335449,23.0204315185547,2.92330081890332,32.4539680480957,51.2388954162598,10.0412311553955,"Upper middle income",-4.56885801592476,-50.5050146078217,2.24275673439054,1.07271339527214,2.30669973178514
"AR",2005,"Argentina",0.46791958956364,400000,11.0440158843994,10.8088817596436,12.3615560531616,10.9892301559448,11.0440158843994,6.20753145217896,6.08464336395264,6.56158590316772,6.09632349014282,6.5711612701416,67.5815658569336,63.4745903015137,61.1228675842285,67.2532196044922,67.4396209716797,0.725886285305023,0.666509807109833,0.420586138963699,0.665056884288788,0.725886285305023,34.8809432983398,35.4066352844238,35.7048530578613,34.5850791931152,34.8809432983398,2.83475995063782,13.1044950485229,22.7875652313232,2.9036575,29.644702911377,34.7540893554688,10.7927751541138,"Upper middle income",-25.4764491681688,-18.6354492226322,1.82576330519024,1.06597114923564,2.37887694306008
"AR",2006,"Argentina",0.353234067141275,400000,11.6221084594727,11.2099838256836,12.4519281387329,11.2699203491211,11.6221084594727,3.8394091129303,3.99643063545227,4.02691268920898,3.99643063545227,4.02691268920898,63.8440475463867,63.0504302978516,53.5341529846191,64.3253936767578,63.8440475463867,1.63568603992462,1.48484361171722,1.89224493503571,1.50056397914886,1.63568603992462,37.406681060791,37.6191711425781,38.5448989868164,37.0867614746094,37.406681060791,3.19311690330505,5.62310218811035,28.2891826629639,3.05431333333333,24.6628513336182,16.8388156890869,11.7224349975586,"Upper middle income",-44.0535623736774,-19.4328513364971,1.34531847791831,1.11655479921975,2.46150452686566
"AR",2007,"Argentina",0.407812503798075,400000,11.4963893890381,10.9241895675659,11.5526294708252,11.2455081939697,11.4963893890381,2.78917694091797,2.85540914535522,2.7689414024353,2.85540914535522,2.7689414024353,66.8073577880859,64.9022827148438,59.7836494445801,67.2484741210938,66.8073577880859,1.2643141746521,1.25102770328522,1.45409464836121,1.16016328334808,1.2643141746521,42.0638275146484,42.0732345581055,43.0040550231934,41.5684432983398,42.2490386962891,3.07339310646057,2.73772859573364,27.7378330230713,3.09564884920635,23.1999187469482,23.589038848877,12.9228239059448,"Upper middle income",1.3533488991422,10.2400986538735,1.02574654905605,1.12999752849587,2.5589950430434
"AR",2008,"Argentina",0.447279263762122,400000,10.8430728912354,10.3693704605103,10.8677663803101,10.5990314483643,10.8430728912354,2.58420062065125,2.60346078872681,2.62956547737122,2.60346078872681,2.62956547737122,69.2473907470703,68.8907318115234,64.4473266601562,69.7921295166016,69.2473907470703,1.48895394802094,1.38453269004822,1.53730654716492,1.3974335193634,1.48895394802094,43.9370613098145,44.044075012207,46.031795501709,43.3187942504883,44.0430068969727,2.97014689445496,0.336084604263306,27.2831001281738,3.14416455988456,26.7407665252686,-17.7128829956055,12.8859968185425,"Upper middle income",-23.5022436201222,-11.4696405261495,0.949416222477475,1.14554821412742,2.55614120382386
